ProductKey;Product Item Code;Product Sub Category;Product Category;EnglishProductName;ModelName;EnglishDescription;StartDate;EndDate;Product Status
27;FW-5160;NULL;NULL;Flat Washer 3;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
28;FW-5800;NULL;NULL;Flat Washer 8;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
29;FW-7160;NULL;NULL;Flat Washer 5;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
30;FW-9160;NULL;NULL;Flat Washer 7;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
31;FC-3654;NULL;NULL;Fork Crown;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
32;FC-3982;NULL;NULL;Front Derailleur Cage;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
33;FL-2301;NULL;NULL;Front Derailleur Linkage;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
34;GP-0982;NULL;NULL;Guide Pulley;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
35;GT-0820;NULL;NULL;LL Grip Tape;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
36;GT-1209;NULL;NULL;ML Grip Tape;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
37;GT-2908;NULL;NULL;HL Grip Tape;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
38;HJ-1213;NULL;NULL;Thin-Jam Hex Nut 9;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
39;HJ-1220;NULL;NULL;Thin-Jam Hex Nut 10;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
40;HJ-1420;NULL;NULL;Thin-Jam Hex Nut 1;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
41;HJ-1428;NULL;NULL;Thin-Jam Hex Nut 2;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
42;HJ-3410;NULL;NULL;Thin-Jam Hex Nut 15;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
43;HJ-3416;NULL;NULL;Thin-Jam Hex Nut 16;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
44;HJ-3816;NULL;NULL;Thin-Jam Hex Nut 5;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
45;HJ-3824;NULL;NULL;Thin-Jam Hex Nut 6;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
46;HJ-5161;NULL;NULL;Thin-Jam Hex Nut 3;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
47;HJ-5162;NULL;NULL;Thin-Jam Hex Nut 4;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
48;HJ-5811;NULL;NULL;Thin-Jam Hex Nut 13;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
49;HJ-5818;NULL;NULL;Thin-Jam Hex Nut 14;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
50;HJ-7161;NULL;NULL;Thin-Jam Hex Nut 7;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
51;HJ-7162;NULL;NULL;Thin-Jam Hex Nut 8;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
52;HJ-9080;NULL;NULL;Thin-Jam Hex Nut 12;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
53;HJ-9161;NULL;NULL;Thin-Jam Hex Nut 11;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
54;HN-1024;NULL;NULL;Hex Nut 5;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
55;HN-1032;NULL;NULL;Hex Nut 6;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
56;HN-1213;NULL;NULL;Hex Nut 16;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
57;HN-1220;NULL;NULL;Hex Nut 17;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
58;HN-1224;NULL;NULL;Hex Nut 7;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
59;HN-1420;NULL;NULL;Hex Nut 8;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
60;HN-1428;NULL;NULL;Hex Nut 9;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
61;HN-3410;NULL;NULL;Hex Nut 22;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
62;HN-3416;NULL;NULL;Hex Nut 23;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
63;HN-3816;NULL;NULL;Hex Nut 12;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
64;HN-3824;NULL;NULL;Hex Nut 13;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
65;HN-4402;NULL;NULL;Hex Nut 1;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
66;HN-5161;NULL;NULL;Hex Nut 10;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
67;HN-5162;NULL;NULL;Hex Nut 11;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
68;HN-5400;NULL;NULL;Hex Nut 2;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
69;HN-5811;NULL;NULL;Hex Nut 20;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
70;HN-5818;NULL;NULL;Hex Nut 21;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
71;HN-6320;NULL;NULL;Hex Nut 3;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
72;HN-7161;NULL;NULL;Hex Nut 14;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
73;HN-7162;NULL;NULL;Hex Nut 15;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
74;HN-8320;NULL;NULL;Hex Nut 4;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
75;HN-9161;NULL;NULL;Hex Nut 18;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
76;HN-9168;NULL;NULL;Hex Nut 19;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
77;HT-2981;NULL;NULL;Handlebar Tube;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
78;HT-8019;NULL;NULL;Head Tube;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
79;HU-6280;NULL;NULL;LL Hub;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
80;HU-8998;NULL;NULL;HL Hub;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
81;KW-4091;NULL;NULL;Keyed Washer;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
82;LE-1000;NULL;NULL;External Lock Washer 3;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
83;LE-1200;NULL;NULL;External Lock Washer 4;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
84;LE-1201;NULL;NULL;External Lock Washer 9;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
85;LE-1400;NULL;NULL;External Lock Washer 5;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
86;LE-3800;NULL;NULL;External Lock Washer 7;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
87;LE-5160;NULL;NULL;External Lock Washer 6;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
88;LE-6000;NULL;NULL;External Lock Washer 1;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
89;LE-7160;NULL;NULL;External Lock Washer 8;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
90;LE-8000;NULL;NULL;External Lock Washer 2;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
91;LI-1000;NULL;NULL;Internal Lock Washer 3;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
92;LI-1200;NULL;NULL;Internal Lock Washer 4;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
93;LI-1201;NULL;NULL;Internal Lock Washer 9;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
94;LI-1400;NULL;NULL;Internal Lock Washer 5;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
95;LI-3800;NULL;NULL;Internal Lock Washer 7;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
96;LI-5160;NULL;NULL;Internal Lock Washer 6;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
97;LI-5800;NULL;NULL;Internal Lock Washer 10;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
98;LI-6000;NULL;NULL;Internal Lock Washer 1;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
99;LI-7160;NULL;NULL;Internal Lock Washer 8;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
100;LI-8000;NULL;NULL;Internal Lock Washer 2;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
101;LJ-1213;NULL;NULL;Thin-Jam Lock Nut 9;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
102;LJ-1220;NULL;NULL;Thin-Jam Lock Nut 10;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
103;LJ-1420;NULL;NULL;Thin-Jam Lock Nut 1;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
104;LJ-1428;NULL;NULL;Thin-Jam Lock Nut 2;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
105;LJ-3410;NULL;NULL;Thin-Jam Lock Nut 15;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
106;LJ-3416;NULL;NULL;Thin-Jam Lock Nut 16;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
107;LJ-3816;NULL;NULL;Thin-Jam Lock Nut 5;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
108;LJ-3824;NULL;NULL;Thin-Jam Lock Nut 6;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
109;LJ-5161;NULL;NULL;Thin-Jam Lock Nut 3;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
110;LJ-5162;NULL;NULL;Thin-Jam Lock Nut 4;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
111;LJ-5811;NULL;NULL;Thin-Jam Lock Nut 13;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
112;LJ-5818;NULL;NULL;Thin-Jam Lock Nut 14;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
113;LJ-7161;NULL;NULL;Thin-Jam Lock Nut 7;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
114;LJ-7162;NULL;NULL;Thin-Jam Lock Nut 8;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
115;LJ-9080;NULL;NULL;Thin-Jam Lock Nut 12;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
116;LJ-9161;NULL;NULL;Thin-Jam Lock Nut 11;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
117;LN-1024;NULL;NULL;Lock Nut 5;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
118;LN-1032;NULL;NULL;Lock Nut 6;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
119;LN-1213;NULL;NULL;Lock Nut 16;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
120;LN-1220;NULL;NULL;Lock Nut 17;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
121;LN-1224;NULL;NULL;Lock Nut 7;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
122;LN-1420;NULL;NULL;Lock Nut 8;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
123;LN-1428;NULL;NULL;Lock Nut 9;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
124;LN-3410;NULL;NULL;Lock Nut 22;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
125;LN-3416;NULL;NULL;Lock Nut 23;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
126;LN-3816;NULL;NULL;Lock Nut 12;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
127;LN-3824;NULL;NULL;Lock Nut 13;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
128;LN-4400;NULL;NULL;Lock Nut 1;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
129;LN-5161;NULL;NULL;Lock Nut 10;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
130;LN-5162;NULL;NULL;Lock Nut 11;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
131;LN-5400;NULL;NULL;Lock Nut 2;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
132;LN-5811;NULL;NULL;Lock Nut 20;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
133;LN-5818;NULL;NULL;Lock Nut 21;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
134;LN-6320;NULL;NULL;Lock Nut 3;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
135;LN-7161;NULL;NULL;Lock Nut 14;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
136;LN-7162;NULL;NULL;Lock Nut 15;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
137;LN-8320;NULL;NULL;Lock Nut 4;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
138;LN-9080;NULL;NULL;Lock Nut 19;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
139;LN-9161;NULL;NULL;Lock Nut 18;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
140;LR-2398;NULL;NULL;Lock Ring;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
141;LR-8520;NULL;NULL;Lower Head Race;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
142;LW-1000;NULL;NULL;Lock Washer 4;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
143;LW-1200;NULL;NULL;Lock Washer 5;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
144;LW-1201;NULL;NULL;Lock Washer 10;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
145;LW-1400;NULL;NULL;Lock Washer 6;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
146;LW-3400;NULL;NULL;Lock Washer 13;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
147;LW-3800;NULL;NULL;Lock Washer 8;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
148;LW-4000;NULL;NULL;Lock Washer 1;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
149;LW-5160;NULL;NULL;Lock Washer 7;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
150;LW-5800;NULL;NULL;Lock Washer 12;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
151;LW-6000;NULL;NULL;Lock Washer 2;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
152;LW-7160;NULL;NULL;Lock Washer 9;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
153;LW-8000;NULL;NULL;Lock Washer 3;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
154;LW-9160;NULL;NULL;Lock Washer 11;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
155;MA-7075;NULL;NULL;Metal Angle;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
156;MB-2024;NULL;NULL;Metal Bar 1;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
157;MB-6061;NULL;NULL;Metal Bar 2;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
158;MP-2066;NULL;NULL;Metal Plate 2;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
159;MP-2503;NULL;NULL;Metal Plate 1;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
160;MP-4960;NULL;NULL;Metal Plate 3;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
161;MS-0253;NULL;NULL;Metal Sheet 2;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
162;MS-1256;NULL;NULL;Metal Sheet 3;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
163;MS-1981;NULL;NULL;Metal Sheet 7;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
164;MS-2259;NULL;NULL;Metal Sheet 4;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
165;MS-2341;NULL;NULL;Metal Sheet 5;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
166;MS-2348;NULL;NULL;Metal Sheet 6;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
167;MS-6061;NULL;NULL;Metal Sheet 1;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
168;MT-1000;NULL;NULL;Metal Tread Plate;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
169;NI-4127;NULL;NULL;LL Nipple;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
170;NI-9522;NULL;NULL;HL Nipple;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
171;PA-187B;NULL;NULL;Paint - Black;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
172;PA-361R;NULL;NULL;Paint - Red;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
173;PA-529S;NULL;NULL;Paint - Silver;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
174;PA-632U;NULL;NULL;Paint - Blue;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
175;PA-823Y;NULL;NULL;Paint - Yellow;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
176;PB-6109;NULL;NULL;Pinch Bolt;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
177;RA-2345;NULL;NULL;Cup-Shaped Race;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
178;RA-7490;NULL;NULL;Cone-Shaped Race;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
179;RF-9198;NULL;NULL;Reflector;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
180;RM-M464;NULL;NULL;LL Mountain Rim;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
181;RM-M692;NULL;NULL;ML Mountain Rim;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
182;RM-M823;NULL;NULL;HL Mountain Rim;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
183;RM-R436;NULL;NULL;LL Road Rim;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
184;RM-R600;NULL;NULL;ML Road Rim;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
185;RM-R800;NULL;NULL;HL Road Rim;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
186;RM-T801;NULL;NULL;Touring Rim;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
187;SA-M198;NULL;NULL;LL Mountain Seat Assembly;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
188;SA-M237;NULL;NULL;ML Mountain Seat Assembly;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
189;SA-M687;NULL;NULL;HL Mountain Seat Assembly;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
190;SA-R127;NULL;NULL;LL Road Seat Assembly;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
191;SA-R430;NULL;NULL;ML Road Seat Assembly;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
192;SA-R522;NULL;NULL;HL Road Seat Assembly;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
193;SA-T467;NULL;NULL;LL Touring Seat Assembly;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
194;SA-T612;NULL;NULL;ML Touring Seat Assembly;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
195;SA-T872;NULL;NULL;HL Touring Seat Assembly;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
196;SD-2342;NULL;NULL;LL Spindle/Axle;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
197;SD-9872;NULL;NULL;HL Spindle/Axle;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
198;SH-4562;NULL;NULL;LL Shell;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
199;SH-9312;NULL;NULL;HL Shell;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
200;SK-9283;NULL;NULL;Spokes;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
201;SL-0931;NULL;NULL;Seat Lug;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
202;SM-9087;NULL;NULL;Stem;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
203;SP-2981;NULL;NULL;Seat Post;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
204;SR-2098;NULL;NULL;Steerer;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
205;SS-2985;NULL;NULL;Seat Stays;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
206;ST-9828;NULL;NULL;Seat Tube;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
207;TO-2301;NULL;NULL;Top Tube;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
208;TP-0923;NULL;NULL;Tension Pulley;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
209;RC-0291;NULL;NULL;Rear Derailleur Cage;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
210;FR-R92B-58;Road Frames;Components;HL Road Frame - Black, 58;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2010-07-01 00:00:00.000;NULL;Current
211;FR-R92R-58;Road Frames;Components;HL Road Frame - Red, 58;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2010-07-01 00:00:00.000;NULL;Current
212;HL-U509-R;Helmets;Accessories;Sport-100 Helmet, Red;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;2018-07-01 00:00:00.000;2014-12-28 00:00:00.000;Outdate
213;HL-U509-R;Helmets;Accessories;Sport-100 Helmet, Red;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;2019-07-01 00:00:00.000;2015-12-27 00:00:00.000;Outdate
214;HL-U509-R;Helmets;Accessories;Sport-100 Helmet, Red;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;2020-07-01 00:00:00.000;NULL;Current
215;HL-U509;Helmets;Accessories;Sport-100 Helmet, Black;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;2018-07-01 00:00:00.000;2014-12-28 00:00:00.000;Outdate
216;HL-U509;Helmets;Accessories;Sport-100 Helmet, Black;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;2019-07-01 00:00:00.000;2015-12-27 00:00:00.000;Outdate
217;HL-U509;Helmets;Accessories;Sport-100 Helmet, Black;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;2020-07-01 00:00:00.000;NULL;Current
218;SO-B909-M;Socks;Clothing;Mountain Bike Socks, M;Mountain Bike Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;2018-07-01 00:00:00.000;2014-12-28 00:00:00.000;Outdate
219;SO-B909-L;Socks;Clothing;Mountain Bike Socks, L;Mountain Bike Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;2018-07-01 00:00:00.000;2014-12-28 00:00:00.000;Outdate
220;HL-U509-B;Helmets;Accessories;Sport-100 Helmet, Blue;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;2018-07-01 00:00:00.000;2014-12-28 00:00:00.000;Outdate
221;HL-U509-B;Helmets;Accessories;Sport-100 Helmet, Blue;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;2019-07-01 00:00:00.000;2015-12-27 00:00:00.000;Outdate
222;HL-U509-B;Helmets;Accessories;Sport-100 Helmet, Blue;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;2020-07-01 00:00:00.000;NULL;Current
223;CA-1098;Caps;Clothing;AWC Logo Cap;Cycling Cap;"Traditional style with a flip-up brim; one-size fits all.";2018-07-01 00:00:00.000;2014-12-28 00:00:00.000;Outdate
224;CA-1098;Caps;Clothing;AWC Logo Cap;Cycling Cap;"Traditional style with a flip-up brim; one-size fits all.";2019-07-01 00:00:00.000;2015-12-27 00:00:00.000;Outdate
225;CA-1098;Caps;Clothing;AWC Logo Cap;Cycling Cap;"Traditional style with a flip-up brim; one-size fits all.";2020-07-01 00:00:00.000;NULL;Current
226;LJ-0192-S;Jerseys;Clothing;Long-Sleeve Logo Jersey, S;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;2018-07-01 00:00:00.000;2014-12-28 00:00:00.000;Outdate
227;LJ-0192-S;Jerseys;Clothing;Long-Sleeve Logo Jersey, S;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;2019-07-01 00:00:00.000;2015-12-27 00:00:00.000;Outdate
228;LJ-0192-S;Jerseys;Clothing;Long-Sleeve Logo Jersey, S;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;2020-07-01 00:00:00.000;NULL;Current
229;LJ-0192-M;Jerseys;Clothing;Long-Sleeve Logo Jersey, M;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;2018-07-01 00:00:00.000;2014-12-28 00:00:00.000;Outdate
